Word,Sub_Type,Type2,Type3
politiker(innen|in)? (.* )?plünder(t|n),korrupte eliten,conflictive,anti-elitism
politiker(innen|in)? (.* )?schätz(t|en) (.* )?gering,"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? (.* )?scheu(t|en) sich (.* )?nicht,"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? (.* )?schummel(t|en),unaufrichtige eliten,conflictive,anti-elitism
politiker(innen|in)? (.* )?schwindel(t|en),unaufrichtige eliten,conflictive,anti-elitism
politiker(innen|in)? sich (.* )?anma(ß|ss)(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? sich (.* )?erlaub(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? sich (.* )?heraus(nimmt|nehmen),"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? sich (.* )?nicht (.* )?scheu(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? sich (.* )?trau(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? (.* )?(s(i)?eh(t|en)|schau(t|en)|blick(t|en)) (.* )?(her|hin)(ab|unter),"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? (.* )?trau(t|en) sich,"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? (.* )?tricks(t|en),unaufrichtige eliten,conflictive,anti-elitism
politiker(innen|in)? (.* )?tyrranisier(t|en),diktatorische eliten,conflictive,anti-elitism
politiker(innen|in)? (.* )?unterjoch(t|en),diktatorische eliten,conflictive,anti-elitism
politiker(innen|in)? (.* )?verachte(t|n),"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? (.* )?wag(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism
politiker(innen|in)? (.* )?zwangsbeglück(t|en),diktatorische eliten,conflictive,anti-elitism
politiker-kaste,zzz_none,conflictive,anti-elitism
politiker(-)?klasse,zzz_none,conflictive,anti-elitism
politiker(s|n|innen|in)? ohne bodenhaftung,"abgehobene, dreiste eliten",conflictive,anti-elitism
politik-intrige,zzz_none,conflictive,anti-elitism
politikintrige,zzz_none,conflictive,anti-elitism
politik kaste,zzz_none,conflictive,anti-elitism
politikkaste,zzz_none,conflictive,anti-elitism
politik kaste,zzz_none,conflictive,anti-elitism
politikkaste,zzz_none,conflictive,anti-elitism
politiktheater,zzz_none,conflictive,anti-elitism
polit(-)?intrige(.*),zzz_none,conflictive,anti-elitism
politintrige,zzz_none,conflictive,anti-elitism
polit-intrige,zzz_none,conflictive,anti-elitism
politintrige,zzz_none,conflictive,anti-elitism
politische(.*) affaire(.*),zzz_none,conflictive,anti-elitism
politisch(e|er|en|em) adel(s)?,zzz_none,conflictive,anti-elitism
politische(r|n)? affäre(n)?,zzz_none,conflictive,anti-elitism
polittheater,zzz_none,conflictive,anti-elitism
polit(-)?versagen(s)?,zzz_none,conflictive,anti-elitism
präpotent(e|er|en) bürokratie,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) (.*)elite(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) bürokrat(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) expert(e|en|in|innen),"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) forscher(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) gelehrte(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) herrschende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) intellektuelle(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) journalismus,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) journalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) (.*)kapitalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) (.*)konzern(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) leistungsträger(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) medienvertreter(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) regent(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) regierende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) souverän(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) spezialist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) fachfrau(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) fachleute(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) forschung,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) (.*)medien,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) multis,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) partei,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) parteien,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) regierung(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) wirtschaft,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|en) wissenschaft(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|es|en|em) konglomerat(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|er|es|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|es|en|em) (.*)establishment(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
präpotent(e|es|en|em) system(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
probleme der deutschen,zzz_none,advocative,people-centrism
probleme (der|einer|unserer) allgemeinheit,probleme der menschen,advocative,people-centrism
probleme (der|einer|unserer) arbeiterschaft,probleme der menschen,advocative,people-centrism
probleme (der|einer|unserer) frau(en)?,probleme der menschen,advocative,people-centrism
probleme (der|einer|unserer) (frauen und männer|männer und frauen),probleme der menschen,advocative,people-centrism
probleme (der|einer|unserer) landsfrau(en)?,probleme der menschen,advocative,people-centrism
probleme (der|einer|unserer) landsleute,probleme der menschen,advocative,people-centrism
probleme (der|einer|unserer) masse(n)?,probleme der menschen,advocative,people-centrism
probleme (der|einer|unserer) mehrheit,probleme der menschen,advocative,people-centrism
probleme (der|einer|unserer) vielen,probleme der menschen,advocative,people-centrism
probleme (der|einer|unserer) wählerschaft,probleme der menschen,advocative,people-centrism
probleme der österreicher,zzz_none,advocative,people-centrism
probleme der schweizer,zzz_none,advocative,people-centrism
probleme (des|eines|unseres) volk(s|es),probleme der menschen,advocative,people-centrism
probleme (des|eines|unseres) wahlvolk(s|es),probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) angestellten,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) arbeiter(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) arbeitnehmer(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) (be|ein)wohner(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) berufstätigen,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) beschäftigten,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) büezer(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) deutschen,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) eidgen(o|ö)ss(en|in|innen),probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) erwerbstätigen,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) hackler(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) konsument(en|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) landsm(a|ä)nn(er|s|es),probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) lohnarbeiter(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) m(a|ä)nn(er|s|es),probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) malocher(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) mitbürger(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) österreicher(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) schweizer(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) sterblichen,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) steuerpflichtigen,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) steuerzahler(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) stimmbürger(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) urnengänger(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) verbraucher(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) wahlberechtigten,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) wähler(s|innen|in)?,probleme der menschen,advocative,people-centrism
probleme (de(s|r)|eine(s|r)|unsere(s|r)) werktätigen,probleme der menschen,advocative,people-centrism
profit für ein paar,zzz_none,conflictive,anti-elitism
profit für wenige,zzz_none,conflictive,anti-elitism
protektion,zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?bürokrat(en|in|innen)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?bürokratie,pseudo-eliten,conflictive,anti-elitism
pseudoelite(.*),zzz_none,conflictive,anti-elitism
pseudo( |-)?(.*)elite(n)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.*)establishment(s)?,pseudo-eliten,conflictive,anti-elitism
pseudoexpert(.*),zzz_none,conflictive,anti-elitism
pseudo(-)?(.* )?expert(e|en|in|innen),pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?fachfrau(en)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?fachleute(n)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?fachm(a|ä)nn(er|s|es|e|ern)?,pseudo-eliten,conflictive,anti-elitism
pseudofinanzelite(.*),zzz_none,conflictive,anti-elitism
pseudoforscher(.*),zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?forscher(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?forschung,pseudo-eliten,conflictive,anti-elitism
pseudogelehrte(.*),zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?gelehrte(n|r)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?herrschende(n|r)?,pseudo-eliten,conflictive,anti-elitism
pseudointellektuelle(.*),zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?intellektuelle(n|r)?,pseudo-eliten,conflictive,anti-elitism
pseudojournalismus,zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?journalismus,pseudo-eliten,conflictive,anti-elitism
pseudojournalist,zzz_none,conflictive,anti-elitism
pseudojournalisten,zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?journalist(en|in|innen)?,pseudo-eliten,conflictive,anti-elitism
pseudojournalistin(.*),zzz_none,conflictive,anti-elitism
pseudo( |-)?(.*)kapitalist(en|in|innen)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?konglomerat(e|es|s|en)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.*)konzern(e|es|s|en)?,pseudo-eliten,conflictive,anti-elitism
pseudokulturelite(.*),zzz_none,conflictive,anti-elitism
pseudoleistungsträger(.*),zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?leistungsträger(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism
pseudo(-)?(.* )medien,pseudo-eliten,conflictive,anti-elitism
pseudomedienvertreter(.*),zzz_none,conflictive,anti-elitism
pseudo(-)?(.* )?medienvertreter(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?multis,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?parteien,pseudo-eliten,conflictive,anti-elitism
pseudopolitelite(.*),zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?politiker(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?regent(en|in|innen)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?regierende(n|r)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?regierung(en)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?souverän(s)?,pseudo-eliten,conflictive,anti-elitism
pseudospezialist(.*),zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?spezialist(en|in|innen)?,pseudo-eliten,conflictive,anti-elitism
pseudo(-)?(.* )?system(s)?,pseudo-eliten,conflictive,anti-elitism
pseudo( |-)?(.* )?wirtschaft,pseudo-eliten,conflictive,anti-elitism
pseudowirtschaftselite(.*),zzz_none,conflictive,anti-elitism
pseudo(-)?(.* )?wissenschaft(en)?,pseudo-eliten,conflictive,anti-elitism
pseudowissenschafter(.*),zzz_none,conflictive,anti-elitism
pseudowissenschaftler(.*),zzz_none,conflictive,anti-elitism
pseudo( |-)?(.* )?wissenschaft(l)?er(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism
rage der allgemeinheit,ärger der menschen,conflictive,anti-elitism
rage der arbeiterschaft,ärger der menschen,conflictive,anti-elitism
rage der bevölkerung,ärger der menschen,conflictive,anti-elitism
rage der frau(en)?,ärger der menschen,conflictive,anti-elitism
rage der (frauen und männer|männer und frauen),ärger der menschen,conflictive,anti-elitism
rage der landsfrau(en)?,ärger der menschen,conflictive,anti-elitism
rage der landsleute,ärger der menschen,conflictive,anti-elitism
rage der leute,ärger der menschen,conflictive,anti-elitism
rage der masse(n)?,ärger der menschen,conflictive,anti-elitism
rage der mehrheit,ärger der menschen,conflictive,anti-elitism
rage der vielen,ärger der menschen,conflictive,anti-elitism
rage der wählerschaft,ärger der menschen,conflictive,anti-elitism
rage de(s|r),ärger der menschen,conflictive,anti-elitism
rage de(s|r) angestellten,ärger der menschen,conflictive,anti-elitism
rage de(s|r) arbeiter(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) arbeitnehmer(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) (be|ein)wohner(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) berufstätigen,ärger der menschen,conflictive,anti-elitism
rage de(s|r) beschäftigten,ärger der menschen,conflictive,anti-elitism
rage de(s|r) büezer(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) bürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) deutschen,ärger der menschen,conflictive,anti-elitism
rage de(s|r) eidgen(o|ö)ss(en|in|innen),ärger der menschen,conflictive,anti-elitism
rage de(s|r) erwerbstätigen,ärger der menschen,conflictive,anti-elitism
rage de(s|r) hackler(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) konsument(en|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) landsm(a|ä)nn(er|s|es),ärger der menschen,conflictive,anti-elitism
rage de(s|r) lohnarbeiter(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) m(a|ä)nn(er|s|es),ärger der menschen,conflictive,anti-elitism
rage de(s|r) malocher(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) menschen,ärger der menschen,conflictive,anti-elitism
rage de(s|r) mitbürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) österreicher(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) schweizer(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) sterblichen,ärger der menschen,conflictive,anti-elitism
rage de(s|r) steuerpflichtigen,ärger der menschen,conflictive,anti-elitism
rage de(s|r) steuerzahler(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) stimmbürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) urnengänger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) verbraucher(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) wahlberechtigten,ärger der menschen,conflictive,anti-elitism
rage de(s|r) wähler(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
rage de(s|r) werktätigen,ärger der menschen,conflictive,anti-elitism
rage des volk(s|es),ärger der menschen,conflictive,anti-elitism
rage des wahlvolk(s|es),ärger der menschen,conflictive,anti-elitism
realitätsfern(e|er|en) bürokratie,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) (.*)elite(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) bürokrat(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) expert(e|en|in|innen),"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) forscher(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) gelehrte(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) herrschende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) intellektuelle(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) journalismus,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) journalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) (.*)kapitalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) (.*)konzern(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) leistungsträger(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) medienvertreter(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) regent(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) regierende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) souverän(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) spezialist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) fachfrau(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) fachleute(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) forschung,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) (.*)medien,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) multis,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) partei,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) parteien,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) regierung(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) wirtschaft,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|en) wissenschaft(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|es|en|em) konglomerat(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|er|es|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|es|en|em) (.*)establishment(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfern(e|es|en|em) system(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) bürokratie,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) (.*)elite(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) bürokrat(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) expert(e|en|in|innen),"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) forscher(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) gelehrte(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) herrschende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) intellektuelle(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) journalismus,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) journalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) (.*)kapitalist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) (.*)konzern(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) leistungsträger(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) medienvertreter(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) regent(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) regierende(n|r)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) souverän(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) spezialist(en|in|innen)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) fachfrau(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) fachleute(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) forschung,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) (.*)medien,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) multis,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) partei,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) parteien,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) regierung(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) wirtschaft,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|en) wissenschaft(en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|es|en|em) konglomerat(e|es|s|en)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|es|en|em) (.*)establishment(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|es|en|em) system(s)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
rechtschaffen(e|er|en) allgemeinheit,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en) arbeiterschaft,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en) bevölkerung,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) angestellte(n|r)?,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) arbeiter(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) arbeitnehmer(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) (be|ein)wohner(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) berufstätige(n|r)?,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) beschäftigte(n|r)?,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) büezer(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) deutsche(n|r)?,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) eidgen(o|ö)ss(e|en|in|innen),ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) erwerbstätige(n|r)?,ehrliche menschen,advocative,people-centrism
rechtschaffen(e|er|en|em) hackler(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
