Word,Sub_Type,Type2,Type3,fear citizens  
(.*)kapitalist(en|in|innen)? (.* )?unterjoch(t|en),diktatorische eliten,conflictive,anti-elitism,capitalist subjugate  
(.*)kapitalist(en|in|innen)? (.* )?verachte(t|n),"abgehobene, dreiste eliten",conflictive,anti-elitism,capitalist despise  
(.*)kapitalist(en|in|innen)? (.* )?verr(ä|a)t(en)?,verabscheuenswerte eliten,conflictive,anti-elitism,capitalist betray
(.*)kapitalist(en|in|innen)? (.* )?(vor)?täusch(t|en),unaufrichtige eliten,conflictive,anti-elitism,capitalist deception  
(.*)kapitalist(en|in|innen)? (.* )?wag(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,capitalist dare  
(.*)kapitalist(en|in|innen)? (.* )?zwangsbeglück(t|en),diktatorische eliten,conflictive,anti-elitism,capitalist forced happiness  
käuflich(e|er|en) bürokratie,korrupte eliten,conflictive,anti-elitism,buyable bureaucracy  
käuflich(e|er|en) (.*)elite(n)?,korrupte eliten,conflictive,anti-elitism,buyable elite  
käuflich(e|er|en|em) bürokrat(en|in|innen)?,korrupte eliten,conflictive,anti-elitism,purchasable bureaucrats  
käuflich(e|er|en|em) expert(e|en|in|innen),korrupte eliten,conflictive,anti-elitism,purchasable experts  
käuflich(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,korrupte eliten,conflictive,anti-elitism,purchasable specialists  
käuflich(e|er|en|em) forscher(s|n|innen|in)?,korrupte eliten,conflictive,anti-elitism,purchasable researchers  
käuflich(e|er|en|em) gelehrte(n|r)?,korrupte eliten,conflictive,anti-elitism,purchasable scholars
käuflich(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,korrupte eliten,conflictive,anti-elitism,purchaseable large companies  
käuflich(e|er|en|em) herrschende(n|r)?,korrupte eliten,conflictive,anti-elitism,purchaseable ruling class  
käuflich(e|er|en|em) intellektuelle(n|r)?,korrupte eliten,conflictive,anti-elitism,purchaseable intellectuals  
käuflich(e|er|en|em) journalismus,korrupte eliten,conflictive,anti-elitism,purchaseable journalism  
käuflich(e|er|en|em) journalist(en|in|innen)?,korrupte eliten,conflictive,anti-elitism,purchaseable journalists
käuflich(e|er|en|em) (.*)kapitalist(en|in|innen)?,korrupte eliten,conflictive,anti-elitism,purchasable capitalist  
käuflich(e|er|en|em) (.*)konzern(e|es|s|en)?,korrupte eliten,conflictive,anti-elitism,purchasable corporation  
käuflich(e|er|en|em) leistungsträger(s|n|innen|in)?,korrupte eliten,conflictive,anti-elitism,purchasable performer  
käuflich(e|er|en|em) medienvertreter(s|n|innen|in)?,korrupte eliten,conflictive,anti-elitism,purchasable media representative  
käuflich(e|er|en|em) politiker(s|n|innen|in)?,korrupte eliten,conflictive,anti-elitism,purchasable politician  
käuflich(e|er|en|em) regent(en|in|innen)?,korrupte eliten,conflictive,anti-elitism,purchasable regent(s)?  
käuflich(e|er|en|em) regierende(n|r)?,korrupte eliten,conflictive,anti-elitism,purchasable ruling(s)?  
käuflich(e|er|en|em) souverän(s)?,korrupte eliten,conflictive,anti-elitism,purchasable sovereign(s)?  
käuflich(e|er|en|em) spezialist(en|in|innen)?,korrupte eliten,conflictive,anti-elitism,purchasable specialist(s)?  
käuflich(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,korrupte eliten,conflictive,anti-elitism,purchasable scientist(s)?
käuflich(e|er|en) fachfrau(en)?,korrupte eliten,conflictive,anti-elitism,buyable expert  
käuflich(e|er|en) fachleute(n)?,korrupte eliten,conflictive,anti-elitism,buyable professionals  
käuflich(e|er|en) forschung,korrupte eliten,conflictive,anti-elitism,buyable research  
käuflich(e|er|en) (.*)medien,korrupte eliten,conflictive,anti-elitism,buyable (.*)media  
käuflich(e|er|en) multis,korrupte eliten,conflictive,anti-elitism,buyable multis  
käuflich(e|er|en) partei,korrupte eliten,conflictive,anti-elitism,purchaseable party  
käuflich(e|er|en) parteien,korrupte eliten,conflictive,anti-elitism,purchaseable parties  
käuflich(e|er|en) regierung(en)?,korrupte eliten,conflictive,anti-elitism,purchaseable government  
käuflich(e|er|en) wirtschaft,korrupte eliten,conflictive,anti-elitism,purchaseable economy  
käuflich(e|er|en) wissenschaft(en)?,korrupte eliten,conflictive,anti-elitism,purchaseable science
käuflich(e|er|es|en|em) konglomerat(e|es|s|en)?,korrupte eliten,conflictive,anti-elitism,purchaseable conglomerate  
käuflich(e|er|es|en|em) politiker(s|n|innen|in)?,korrupte eliten,conflictive,anti-elitism,purchaseable politicians  
käuflich(e|es|en|em) (.*)establishment(s)?,korrupte eliten,conflictive,anti-elitism,purchaseable establishment  
käuflich(e|es|en|em) system(s)?,korrupte eliten,conflictive,anti-elitism,purchaseable system  
klein(e|er|en) allgemeinheit,normale menschen,advocative,people-centrism,small generality  
klein(e|er|en) arbeiterschaft,normale menschen,advocative,people-centrism,small workforce  
klein(e|er|en) bevölkerung,normale menschen,advocative,people-centrism,small population  
klein(e|er|en|em) angestellte(n|r)?,normale menschen,advocative,people-centrism,small employees  
klein(e|er|en|em) arbeiter(s|n|innen|in)?,normale menschen,advocative,people-centrism,small workers  
klein(e|er|en|em) arbeitnehmer(s|n|innen|in)?,normale menschen,advocative,people-centrism,small employees  
klein(e|er|en|em) (be|ein)wohner(s|n|innen|in)?,normale menschen,advocative,people-centrism,small resident  
klein(e|er|en|em) berufstätige(n|r)?,normale menschen,advocative,people-centrism,small employee  
klein(e|er|en|em) beschäftigte(n|r)?,normale menschen,advocative,people-centrism,small worker  
klein(e|er|en|em) büezer(s|n|innen|in)?,normale menschen,advocative,people-centrism,small laborer  
klein(e|er|en|em) bürger(s|n|innen|in)?,normale menschen,advocative,people-centrism,small citizen  
klein(e|er|en|em) deutsche(n|r)?,normale menschen,advocative,people-centrism,small German  
klein(e|er|en|em) eidgen(o|ö)ss(e|en|in|innen),normale menschen,advocative,people-centrism,small Swiss  
klein(e|er|en|em) erwerbstätige(n|r)?,normale menschen,advocative,people-centrism,small employed  
klein(e|er|en|em) hackler(s|n|innen|in)?,normale menschen,advocative,people-centrism,small hackers  
klein(e|er|en|em) konsument(en|innen|in)?,normale menschen,advocative,people-centrism,small consumers
klein(e|er|en|em) lohnarbeiter(s|n|innen|in)?,normale menschen,advocative,people-centrism,small wage workers  
klein(e|er|en|em) malocher(s|n|innen|in)?,normale menschen,advocative,people-centrism,small laborers  
klein(e|er|en|em) mitbürger(s|n|innen|in)?,normale menschen,advocative,people-centrism,small fellow citizens  
klein(e|er|en|em) österreicher(s|n|innen|in)?,normale menschen,advocative,people-centrism,small Austrians  
klein(e|er|en|em) schweizer(s|n|innen|in)?,normale menschen,advocative,people-centrism,small Swiss
klein(e|er|en|em) sterbliche(n|r)?,normale menschen,advocative,people-centrism,small mortal  
klein(e|er|en|em) steuerpflichtige(n|r)?,normale menschen,advocative,people-centrism,small taxpayer  
klein(e|er|en|em) steuerzahler(s|n|innen|in)?,normale menschen,advocative,people-centrism,small tax payer  
klein(e|er|en|em) stimmbürger(s|n|innen|in)?,normale menschen,advocative,people-centrism,small voting citizen  
klein(e|er|en|em) urnengänger(s|n|innen|in)?,normale menschen,advocative,people-centrism,small ballot goer  
klein(e|er|en|em) verbraucher(s|n|innen|in)?,normale menschen,advocative,people-centrism,small consumer  
klein(e|er|en|em) wahlberechtigte(n|r)?,normale menschen,advocative,people-centrism,small voters  
klein(e|er|en|em) wähler(s|n|innen|in)?,normale menschen,advocative,people-centrism,small electorates  
klein(e|er|en|em) werktätige(n|r)?,normale menschen,advocative,people-centrism,small workers  
klein(e|er|en) frau(en)?,normale menschen,advocative,people-centrism,small woman  
klein(e|er|en) (frauen und männer(n)?|männer(n?) und frauen),normale menschen,advocative,people-centrism,small women and men  
klein(e|er|en) landsfrau(en)?,normale menschen,advocative,people-centrism,small countrywoman  
klein(e|er|en) landsleute(n)?,normale menschen,advocative,people-centrism,small compatriots  
klein(e|er|en) masse(n)?,normale menschen,advocative,people-centrism,small masses  
klein(e|er|en) mehrheit,normale menschen,advocative,people-centrism,small majority  
klein(e|er|en) wählerschaft,normale menschen,advocative,people-centrism,small electorate  
klein(e|er|es|en|em) landsm(a|ä)nn(er|s|es|e|ern)?,normale menschen,advocative,people-centrism,small countryman  
klein(e|es|en|em) volk(s|es|e)?,normale menschen,advocative,people-centrism,small people  
klein(e|es|en|em) wahlvolk(s|es|e)?,normale menschen,advocative,people-centrism,small voters  
kleinen manns,zzz_none,advocative,people-centrism,small man's
kleinen vielen,normale menschen,advocative,people-centrism,small many  
klein(.*) hackler(.*),zzz_none,advocative,people-centrism,small hackler  
konformistisch(e|er|es|en|em)? ,zzz_none,conflictive,anti-elitism,conformist  
konglomerat(e)? (.* )?(auf)?bürde(t|n),diktatorische eliten,conflictive,anti-elitism,conglomerate burden  
konglomerat(e)? (.* )?(auf)?hals(t|en),diktatorische eliten,conflictive,anti-elitism,conglomerate neck
konglomerat(e)? (.* )?(auf)?oktroyier(t|en),diktatorische eliten,conflictive,anti-elitism,conglomerate imposed  
konglomerat(e)? (.* )?(auf)?zwing(t|en),diktatorische eliten,conflictive,anti-elitism,conglomerate forced  
konglomerat(e)? (.* )?(aus)?verkauf(t|en),verabscheuenswerte eliten,conflictive,anti-elitism,conglomerate sold  
konglomerat(e)? (.* )?(be|an)lüg(t|en),unaufrichtige eliten,conflictive,anti-elitism,conglomerate lied  
konglomerat(e)? (.* )?best(i|e)ch(t|en),korrupte eliten,conflictive,anti-elitism,conglomerate established
konglomerat(e)? (.* )?betrüg(t|en),unaufrichtige eliten,conflictive,anti-elitism,conglomerate fraud  
konglomerat(e)? (.* )?br(i|e)ch(t|en),unaufrichtige eliten,conflictive,anti-elitism,conglomerate breach  
konglomerat(e)? (.* )?(chuzpe|frechheit|stirn|nerv(en)?) (ha(t|ben)|besitz(t|en)|verfüg(t|en)),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate audacity  
konglomerat(e)? (.* )?diktier(t|en),diktatorische eliten,conflictive,anti-elitism,conglomerate dictate  
konglomerat(e)? (.* )?erdreiste(t|n),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate boldness
konglomerat(e)? (.* )?erlaub(t|en) sich,"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate allows itself  
konglomerat(e|es|s|en)?,elitenbezug,conflictive,anti-elitism,conglomerate  
konglomerat(e|es|s|en)? ohne bodenhaftung,"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate without ground connection  
konglomerat(e)? (.* )?gering( )?schätz(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate underestimates  
konglomerat(e)? (.* )?(ha(t|ben)|besitz(t|en)|verfüg(t|en)) (.* )?(chuzpe|frechheit|stirn|nerv(en)?),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate has chutzpah
konglomerat(e)? (.* )?(her|hin)(ab|unter)( )?(s(i)?eh(t|en)|schau(t|en)|blick(t|en)),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate downward view  
konglomerat(e)? (.* )?konspirier(t|en),konspirative eliten,conflictive,anti-elitism,conglomerate conspiring  
konglomerat(e)? (.* )?ma(ß|ss)(t|en) sich,"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate measure oneself  
konglomerat(e)? (.* )?mauschel(t|en),paktierende eliten,conflictive,anti-elitism,conglomerate collude  
konglomerat(e)? (.* )?missbrauch(t|en),verabscheuenswerte eliten,conflictive,anti-elitism,conglomerate abuse
konglomerat(e)? (.* )?mogel(t|en),unaufrichtige eliten,conflictive,anti-elitism,conglomerate cheating  
konglomerat(e)? (.* )?(nimmt|nehmen) sich (.* )?heraus,"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate takes out  
konglomerat(e)? (.* )?paktier(t|en),paktierende eliten,conflictive,anti-elitism,conglomerate bargains  
konglomerat(e)? (.* )?plünder(t|n),korrupte eliten,conflictive,anti-elitism,conglomerate plunders  
konglomerat(e)? (.* )?schätz(t|en) (.* )?gering,"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate estimates low
konglomerat(e)? (.* )?scheu(t|en) sich (.* )?nicht,"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate does not shy away  
konglomerat(e)? (.* )?schummel(t|en),unaufrichtige eliten,conflictive,anti-elitism,conglomerate cheats  
konglomerat(e)? (.* )?schwindel(t|en),unaufrichtige eliten,conflictive,anti-elitism,conglomerate deceit  
konglomerat(e)? sich (.* )?anma(ß|ss)(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate claims  
konglomerat(e)? sich (.* )?erlaub(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate allows
konglomerat(e)? sich (.* )?heraus(nimmt|nehmen),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate takes out  
konglomerat(e)? sich (.* )?nicht (.* )?scheu(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate does not shy away  
konglomerat(e)? sich (.* )?trau(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate dares  
konglomerat(e)? (.* )?(s(i)?eh(t|en)|schau(t|en)|blick(t|en)) (.* )?(her|hin)(ab|unter),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate outlook downwards  
konglomerat(e)? (.* )?trau(t|en) sich,"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate dares
konglomerat(e)? (.* )?tricks(t|en),unaufrichtige eliten,conflictive,anti-elitism,conglomerate tricks  
konglomerat(e)? (.* )?tyrranisier(t|en),diktatorische eliten,conflictive,anti-elitism,conglomerate tyrannizes  
konglomerat(e)? (.* )?unterjoch(t|en),diktatorische eliten,conflictive,anti-elitism,conglomerate subjugates  
konglomerat(e)? (.* )?verachte(t|n),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate despises  
konglomerat(e)? (.* )?verr(ä|a)t(en)?,verabscheuenswerte eliten,conflictive,anti-elitism,conglomerate betrays  
konglomerat(e)? (.* )?(vor)?täusch(t|en),unaufrichtige eliten,conflictive,anti-elitism,conglomerate deception  
konglomerat(e)? (.* )?wag(t|en),"abgehobene, dreiste eliten",conflictive,anti-elitism,conglomerate weighing  
konglomerat(e)? (.* )?zwangsbeglück(t|en),diktatorische eliten,conflictive,anti-elitism,conglomerate enforced happiness  
konspiration(en)?,zzz_none,conflictive,anti-elitism,conspiracy  
konspirativ(e|er|en) bürokratie,konspirative eliten,conflictive,anti-elitism,conspiratorial bureaucracy
konspirativ(e|er|en) (.*)elite(n)?,konspirative eliten,conflictive,anti-elitism,conspiratorial elite  
konspirativ(e|er|en|em) bürokrat(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiratorial bureaucrat  
konspirativ(e|er|en|em) expert(e|en|in|innen),konspirative eliten,conflictive,anti-elitism,conspiratorial expert  
konspirativ(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,konspirative eliten,conflictive,anti-elitism,conspiratorial specialist  
konspirativ(e|er|en|em) forscher(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiratorial researcher  
konspirativ(e|er|en|em) gelehrte(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiratorial scholar  
konspirativ(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,konspirative eliten,conflictive,anti-elitism,conspiratorial corporation  
konspirativ(e|er|en|em) herrschende(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiratorial ruling class  
konspirativ(e|er|en|em) intellektuelle(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiratorial intellectual  
konspirativ(e|er|en|em) journalismus,konspirative eliten,conflictive,anti-elitism,conspiratorial journalism  
konspirativ(e|er|en|em) journalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiratorial journalist  
konspirativ(e|er|en|em) (.*)kapitalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiratorial capitalist  
konspirativ(e|er|en|em) (.*)konzern(e|es|s|en)?,konspirative eliten,conflictive,anti-elitism,conspiratorial corporation  
konspirativ(e|er|en|em) leistungsträger(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiratorial stakeholder  
konspirativ(e|er|en|em) medienvertreter(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiratorial media representatives  
konspirativ(e|er|en|em) politiker(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiratorial politician  
konspirativ(e|er|en|em) regent(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiratorial ruler  
konspirativ(e|er|en|em) regierende(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiratorial governing  
konspirativ(e|er|en|em) souverän(s)?,konspirative eliten,conflictive,anti-elitism,conspiratorial sovereign  
konspirativ(e|er|en|em) spezialist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiratorial specialist  
konspirativ(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiratorial scientists  
konspirativ(e|er|en) fachfrau(en)?,konspirative eliten,conflictive,anti-elitism,conspiratorial expert women  
konspirativ(e|er|en) fachleute(n)?,konspirative eliten,conflictive,anti-elitism,conspiratorial experts  
konspirativ(e|er|en) forschung,konspirative eliten,conflictive,anti-elitism,conspiratorial research  
konspirativ(e|er|en) (.*)medien,konspirative eliten,conflictive,anti-elitism,conspiratorial (any) media  
konspirativ(e|er|en) multis,konspirative eliten,conflictive,anti-elitism,conspiratorial multis  
konspirativ(e|er|en) partei,konspirative eliten,conflictive,anti-elitism,conspiratorial party  
konspirativ(e|er|en) parteien,konspirative eliten,conflictive,anti-elitism,conspiratorial parties  
konspirativ(e|er|en) regierung(en)?,konspirative eliten,conflictive,anti-elitism,conspiratorial government  
konspirativ(e|er|en) wirtschaft,konspirative eliten,conflictive,anti-elitism,conspiratorial economy  
konspirativ(e|er|en) wissenschaft(en)?,konspirative eliten,conflictive,anti-elitism,conspiratorial science  
konspirativ(e|er|es|en|em)? ,konspirative eliten,conflictive,anti-elitism,conspiratorial  
konspirativ(e|er|es|en|em) konglomerat(e|es|s|en)?,konspirative eliten,conflictive,anti-elitism,conspiratorial conglomerate  
konspirativ(e|er|es|en|em) politiker(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiratorial politician  
konspirativ(e|es|en|em) (.*)establishment(s)?,konspirative eliten,conflictive,anti-elitism,conspiratorial establishment
konspirativ(e|es|en|em) system(s)?,konspirative eliten,conflictive,anti-elitism,conspiratorial system  
konspirier(.*),zzz_none,conflictive,anti-elitism,conspiracy  
konspirierend(e|er|en) bürokratie,konspirative eliten,conflictive,anti-elitism,conspiring bureaucracy  
konspirierend(e|er|en) (.*)elite(n)?,konspirative eliten,conflictive,anti-elitism,conspiring elite  
konspirierend(e|er|en|em) bürokrat(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiring bureaucrat
konspirierend(e|er|en|em) expert(e|en|in|innen),konspirative eliten,conflictive,anti-elitism,conspiring expert  
konspirierend(e|er|en|em) fachm(a|ä)nn(er|s|es|e|ern)?,konspirative eliten,conflictive,anti-elitism,conspiring specialist  
konspirierend(e|er|en|em) forscher(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiring researcher  
konspirierend(e|er|en|em) gelehrte(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiring scholar  
konspirierend(e|er|en|em) gro(ß|ss)unternehme(r|rs|rn|rin|rinnen|n)?,konspirative eliten,conflictive,anti-elitism,conspiring large company
konspirierend(e|er|en|em) herrschende(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiring ruling  
konspirierend(e|er|en|em) intellektuelle(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiring intellectual  
konspirierend(e|er|en|em) journalismus,konspirative eliten,conflictive,anti-elitism,conspiring journalism  
konspirierend(e|er|en|em) journalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiring journalist  
konspirierend(e|er|en|em) (.*)kapitalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiring capitalist  
konspirierend(e|er|en|em) (.*)konzern(e|es|s|en)?,konspirative eliten,conflictive,anti-elitism,conspiring corporation  
konspirierend(e|er|en|em) leistungsträger(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiring stakeholders  
konspirierend(e|er|en|em) medienvertreter(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiring media representatives  
konspirierend(e|er|en|em) politiker(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiring politicians  
konspirierend(e|er|en|em) regent(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiring rulers  
konspirierend(e|er|en|em) regierende(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiring ruling  
konspirierend(e|er|en|em) souverän(s)?,konspirative eliten,conflictive,anti-elitism,conspiring sovereign  
konspirierend(e|er|en|em) spezialist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiring specialist  
konspirierend(e|er|en|em) wissenschaft(l)?er(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiring scientist  
konspirierend(e|er|en) fachfrau(en)?,konspirative eliten,conflictive,anti-elitism,conspiring expert  
konspirierend(e|er|en) fachleute(n)?,konspirative eliten,conflictive,anti-elitism,conspiring experts  
konspirierend(e|er|en) forschung,konspirative eliten,conflictive,anti-elitism,conspiring research  
konspirierend(e|er|en) (.*)medien,konspirative eliten,conflictive,anti-elitism,conspiring media  
konspirierend(e|er|en) multis,konspirative eliten,conflictive,anti-elitism,conspiring multis  
konspirierend(e|er|en) partei,konspirative eliten,conflictive,anti-elitism,conspiring party  
konspirierend(e|er|en) parteien,konspirative eliten,conflictive,anti-elitism,conspiring parties  
konspirierend(e|er|en) regierung(en)?,konspirative eliten,conflictive,anti-elitism,conspiring governments  
konspirierend(e|er|en) wirtschaft,konspirative eliten,conflictive,anti-elitism,conspiring economy  
konspirierend(e|er|en) wissenschaft(en)?,konspirative eliten,conflictive,anti-elitism,conspiring science  
konspirierend(e|er|es|en|em)? ,konspirative eliten,conflictive,anti-elitism,conspiring
konspirierend(e|er|es|en|em) konglomerat(e|es|s|en)?,konspirative eliten,conflictive,anti-elitism,conspiring conglomerate  
konspirierend(e|er|es|en|em) politiker(s|n|innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiring politician  
konspirierend(e|es|en|em) (.*)establishment(s)?,konspirative eliten,conflictive,anti-elitism,conspiring establishment  
konspirierend(e|es|en|em) system(s)?,konspirative eliten,conflictive,anti-elitism,conspiring system  
konspirieren (.* )?fachleute,konspirative eliten,conflictive,anti-elitism,conspire experts
konspirieren (.*)medien,konspirative eliten,conflictive,anti-elitism,conspire media  
konspirieren (.* )?multis,konspirative eliten,conflictive,anti-elitism,conspire multis  
konspirieren (.* )?parteien,konspirative eliten,conflictive,anti-elitism,conspire parties  
konspirier(t|en) ,konspirative eliten,conflictive,anti-elitism,conspire  
konspirier(t|en) (.* )?bürokrat(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspire bureaucrats
konspirier(t|en) (.* )?bürokratie,konspirative eliten,conflictive,anti-elitism,conspiracy bureaucracy  
konspirier(t|en) (.*)elite(n)?,konspirative eliten,conflictive,anti-elitism,conspiracy elite  
konspirier(t|en) (.*)establishment,konspirative eliten,conflictive,anti-elitism,conspiracy establishment  
konspirier(t|en) (.* )?expert(e|en|in|innen),konspirative eliten,conflictive,anti-elitism,conspiracy expert  
konspirier(t|en) (.* )?fachfrau(en)?,konspirative eliten,conflictive,anti-elitism,conspiracy specialist
konspirier(t|en) (.* )?fachm(a|ä)nn(er)?,konspirative eliten,conflictive,anti-elitism,conspirators experts  
konspirier(t|en) (.* )?forscher(innen|in)?,konspirative eliten,conflictive,anti-elitism,conspirators researchers  
konspirier(t|en) (.* )?forschung,konspirative eliten,conflictive,anti-elitism,conspirators research  
konspirier(t|en) (.* )?gelehrte(n|r)?,konspirative eliten,conflictive,anti-elitism,conspirators scholars  
konspirier(t|en) (.* )?gro(ß|ss)unternehme(r|rin|rinnen|n)?,konspirative eliten,conflictive,anti-elitism,conspirators large companies  
konspirier(t|en) (.* )?herrschende(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiring ruling  
konspirier(t|en) (.* )?intellektuelle(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiring intellectuals  
konspirier(t|en) (.* )?journalismus,konspirative eliten,conflictive,anti-elitism,conspiring journalism  
konspirier(t|en) (.* )?journalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiring journalists  
konspirier(t|en) (.*)kapitalist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiring capitalists  
konspirier(t|en) (.* )?konglomerat(e)?,konspirative eliten,conflictive,anti-elitism,conspiracy conglomerate  
konspirier(t|en) (.*)konzern(e)?,konspirative eliten,conflictive,anti-elitism,conspiracy corporation  
konspirier(t|en) (.* )?leistungsträger(innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiracy performance carriers  
konspirier(t|en) (.* )?medienvertreter(innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiracy media representatives  
konspirier(t|en) (.* )?partei,konspirative eliten,conflictive,anti-elitism,conspiracy party  
konspirier(t|en) (.* )?politiker(innen|in)?,konspirative eliten,conflictive,anti-elitism,conspiring politicians  
konspirier(t|en) (.* )?regent(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspiring rulers  
konspirier(t|en) (.* )?regierende(n|r)?,konspirative eliten,conflictive,anti-elitism,conspiring rulers  
konspirier(t|en) (.* )?regierung(en)?,konspirative eliten,conflictive,anti-elitism,conspiring government  
konspirier(t|en) (.* )?souverän,konspirative eliten,conflictive,anti-elitism,conspiring sovereign  
konspirier(t|en) (.* )?spezialist(en|in|innen)?,konspirative eliten,conflictive,anti-elitism,conspirator specialist  
konspirier(t|en) (.* )?system,konspirative eliten,conflictive,anti-elitism,conspirator system  
konspirier(t|en) (.* )?wirtschaft,konspirative eliten,conflictive,anti-elitism,conspirator economy  
konspirier(t|en) (.* )?wissenschaft(en)?,konspirative eliten,conflictive,anti-elitism,conspirator science  
konspirier(t|en) (.* )?wissenschaft(l)?er(innen|in)?,konspirative eliten,conflictive,anti-elitism,conspirator scientist  
konsument(en|innen|in)? (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism,consumer burden  
konsument(en|innen|in)? (.* )?auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism,consumer imposed  
konsument(en|innen|in)? (.* )?aufhals(t|en),den menschen aufzwingen,conflictive,anti-elitism,consumer saddled  
konsument(en|innen|in)? (.* )?aufnötig(t|en),den menschen aufzwingen,conflictive,anti-elitism,consumer necessitated  
konsument(en|innen|in)? (.* )?(auf)?oktroyier(t|en),den menschen aufzwingen,conflictive,anti-elitism,consumer imposed
konsument(en|innen|in)? (.* )?aufzwing(t|en),den menschen aufzwingen,conflictive,anti-elitism,consumer forces  
konsument(en|innen|in)? (.* )?bis (hier|da)(hin)? steh(t|en),menschen reicht es,advocative,people-centrism,consumer stands until here  
konsument(en|innen|in)? (.* )?diktier(t|en),den menschen aufzwingen,conflictive,anti-elitism,consumer dictates  
konsument(en|innen|in)? häng(t|en) (.* )?zum hals(e)? (her|hin)aus,menschen reicht es,advocative,people-centrism,consumer hangs out to the neck  
konsument(en|innen|in)? (ist|sind|wird|werden|war|waren) (.* )?zu (bunt|blöd|dumm),menschen reicht es,advocative,people-centrism,consumer is too colorful/stupid
konsument(en|innen|in)? (langt|reicht) (es|das|dies),menschen reicht es,advocative,people-centrism,consumer suffices this  
konsument(en|innen|in)? steh(t|en) (.*) bis (hier|da)(hin)?,menschen reicht es,advocative,people-centrism,consumer stands (.*) up to (here|there)  
